Date.Time,TSK,PSFC,"""U10""","""V10""","""Q2""",RAINC,RAINNC,SNOW,TSLB,SMOIS
25.05.2018.06.00,291.4,100589.9,-0.3,-0.3,0.00939,0,0,0,284.1,0.2591
25.05.2018.09.00,302.1,100580.6,-0.9,-0.3,0.0102115,0,0,0,287.7,0.2569
25.05.2018.12.00,305.8,100570.5,-1.5,-0.2,0.0108005,0,0,0,291.8,0.2536
25.05.2018.15.00,302.8,100523.15,-1.9,-0.5,0.011361,0,0,0,294.6,0.2507
25.05.2018.18.00,295.1,100474.8,-2.1,-0.9,0.01222,0,0,0,294.9,0.2493
25.05.2018.21.00,286.8,100522.3,-1.8,-1.295,0.01034,0,0,0,292.7,0.6249
26.05.2018.00.00,283.8,100570.85,-1.8,-1.3,0.00903,0,0,0,287,0.2637
26.05.2018.03.00,283.7,100537.25,-2.6,-1.4,0.007805,0,0,0,285.8,0.2621
26.05.2018.06.00,292,100489.6,-4.1,-0.595,0.01088,0,0,0,286,0.2607
26.05.2018.09.00,301.6,100506.45,-3.3,0.3,0.0123505,0,0,0,288.9,0.2581
26.05.2018.12.00,306.3,100510.95,-2.3,1.8,0.0135805,0,0,0,292.7,0.2545
26.05.2018.15.00,303.6,100441.7,-2.8,-2.05,0.013801,0,0,0,295.3,0.2513
26.05.2018.18.00,296.7,100380.9,-3.2,0.105,0.01396,0,0,0,295.8,0.2498
26.05.2018.21.00,288.2,100381.85,-2.3,0.3,0.01121,0,0,0,293.7,0.2498
27.05.2018.00.00,284.8,100425.95,-2.1,0.705,0.00947,0,0,0,288.3,0.253
27.05.2018.03.00,283.9,100427.3,-1.4,1.5,0.00884,0,0,0,286.9,0.2527
27.05.2018.06.00,292.8,100413,-1.195,2.805,0.01106,0,0,0,286.9,0.2523
27.05.2018.09.00,302.4,100441.95,-0.4,2.505,0.01188,0,0,0,289.7,0.2506
27.05.2018.12.00,307.1,100478.05,0.7,1.9,0.01265,0,0,0,293.4,0.2477
27.05.2018.15.00,305,100418.05,-0.1,1,0.01288,0,0,0,296.2,0.2451
27.05.2018.18.00,297.2,100350.6,-0.9,0.1,0.01297,0,0,0,296.7,0.244
27.05.2018.21.00,287.7,100425.65,-0.395,0.8,0.01084,0,0,0,294.3,0.2441
28.05.2018.00.00,284.795,100490.8,-0.195,1.4,0.00894,0,0,0,288.5,0.2575
28.05.2018.03.00,284.1,100515.25,-0.3,1,0.00867,0,0,0,286.9,0.2559
28.05.2018.06.00,293.8,100523.9,-0.4,0.6,0.0107,0,0,0,286.9,0.2546
28.05.2018.09.00,303.7,100552.5,-0.9,-0.2,0.01209,0,0,0,290.1,0.2522
28.05.2018.12.00,306.4,100548.3,-2.2,-0.9,0.01256,0,0,0,293.8,0.2489
28.05.2018.15.00,304.8,100469.25,-0.3,-0.5,0.0128905,0,0,0,296.3,0.246
28.05.2018.18.00,295.7,100404.5,1.5,0,0.01279,0,0,0,296.5,0.2447
28.05.2018.21.00,286.9,100362.85,1.4,-1.095,0.0105,0,0,0,293.9,0.2446
29.05.2018.00.00,284.89,100327.9,1.4,-1.995,0.00864,0,0,0,287.9,0.2721
29.05.2018.03.00,283.195,100284.5,0.505,-1.095,0.00845,0,0,0,286.3,0.2695
29.05.2018.06.00,292.1,100244.7,-0.1,0.005,0.01037,0,0,0,286.1,0.2674
29.05.2018.09.00,300.4,100257.4,0.3,1.5,0.01098,0,0,0,288.9,0.2644
29.05.2018.12.00,303.3,100245.65,0.7,2.5,0.01148,0,0,0,292.1,0.2608
29.05.2018.15.00,302.3,100146.95,0.3,1.4,0.01176,0,0,0,294.4,0.2576
29.05.2018.18.00,296.1,100050,-0.1,0.3,0.01189,0,0,0,295,0.2561
29.05.2018.21.00,285.9,100062.25,0.3,0.6,0.00977,0,0,0,292.7,0.2559
30.05.2018.00.00,283.19,100079.4,0.7,1,0.0084675,0,0,0,287.1,0.2627
30.05.2018.03.00,282.3,100113.35,1,1.5,0.008399,0,0,0,285.5,0.2619
30.05.2018.06.00,291.6,100156.6,1.4,2.3,0.01062,0,0,0,285.6,0.261
30.05.2018.09.00,300.9,100213.4,0.4,2.2,0.01132,0,0,0,288.5,0.259
30.05.2018.12.00,304.9,100269.8,-0.8,2,0.011863,0,0,0,292.1,0.2559
30.05.2018.15.00,303.3,100887,-0.8,1.2,0.012213,0,0,0,294.8,0.2531
30.05.2018.18.00,296.6,100148.85,-0.8,0.5,0.012542,0,0,0,295.4,0.2519
30.05.2018.21.00,286.6,100192.25,-0.9,0.8,0.01047,0,0,0,293.2,0.2519
31.05.2018.00.00,283.8,100231.25,-1,1.2,0.0087595,0,0,0,287.4,0.2581
31.05.2018.03.00,282.795,100239.85,-0.7,1.9,0.0087965,0,0,0,285.9,0.62765
31.05.2018.06.00,291.2,100244.7,-0.4,3.1,0.00999,0,0,0,285.8,0.2567
31.05.2018.09.00,300.3,100282.65,0.2,3.1,0.0113,0,0,0,288.5,0.2547
31.05.2018.12.00,304.4,100318.75,0.6,3,0.0117325,0,0,0,292,0.2517
31.05.2018.15.00,302.3,100310.9,0.35,2.5,0.0119725,0,0,0,294.5,0.2491
31.05.2018.18.00,295.3,100308.35,0.2,2,0.012372,0,0,0,284,0.2479
31.05.2018.21.00,285.9,100409.5,0.2,1.6,0.0099,0,0,0,292.6,0.2479
